iter	Logloss
0	0.6879895291
1	0.6827893595
2	0.6788416976
3	0.6741162163
4	0.6703867725
5	0.6667657537
6	0.6618589501
7	0.6582176926
8	0.6541860641
9	0.6500350648
10	0.6452935455
11	0.6409429688
12	0.6374857173
13	0.6337332833
14	0.6293736373
15	0.6251628605
16	0.6211187853
17	0.617685112
18	0.614002397
19	0.6097244281
20	0.6060377161
21	0.6022541653
22	0.597807937
23	0.5939916399
24	0.5908133084
25	0.5868238948
26	0.5840230094
27	0.5800975761
28	0.5768998081
29	0.5731723027
30	0.5701412243
31	0.5667973655
32	0.5636407217
33	0.5605520605
34	0.5585900789
35	0.5551803609
36	0.5524262895
37	0.5503254887
38	0.5476164524
39	0.5447727918
40	0.5413319037
41	0.537959393
42	0.5352525126
43	0.53248127
44	0.529837573
45	0.526637723
46	0.5235932054
47	0.5207062541
48	0.5177857604
49	0.5153968324
50	0.5132064363
51	0.5105793349
52	0.5076719445
53	0.5045525723
54	0.5020697315
55	0.4996560949
56	0.4967798408
57	0.4940727393
58	0.4920794953
59	0.4893936877
60	0.4870579107
61	0.4851941341
62	0.4833554924
63	0.4808515593
64	0.4787513682
65	0.4771035257
66	0.4746604875
67	0.472031642
68	0.4694946926
69	0.4673174654
70	0.4648117194
71	0.4625947992
72	0.4601241057
73	0.4576724641
74	0.4557518705
75	0.4534317038
76	0.4511944346
77	0.4488327591
78	0.446824858
79	0.4449242874
80	0.4436533579
81	0.4413069357
82	0.4390703277
83	0.4372420697
84	0.4349991914
85	0.4338103717
86	0.431676217
87	0.4301457379
88	0.4285342014
89	0.4272763827
90	0.4255161285
91	0.4245428757
92	0.4224888295
93	0.4209917565
94	0.4188959511
95	0.4173654143
96	0.4153887897
97	0.4133528772
98	0.412167536
99	0.4102743244
100	0.4083310131
101	0.4065295283
102	0.4046619972
103	0.4031599191
104	0.4012785918
105	0.3994757186
106	0.3979258562
107	0.3960348318
108	0.3946281921
109	0.3928707072
110	0.3914945482
111	0.3907289288
112	0.3892979585
113	0.3877655478
114	0.3865649308
115	0.3852022112
116	0.3842084726
117	0.3831598858
118	0.3815197153
119	0.3800139622
120	0.378431009
121	0.376897939
122	0.3763064868
123	0.3751161389
124	0.373592924
125	0.3729180397
126	0.3716111027
127	0.370268261
128	0.3690368614
129	0.3682458234
130	0.3668759972
131	0.3654335169
132	0.3644944157
133	0.363274816
134	0.3618119767
135	0.3609140558
136	0.359499848
137	0.3582910751
138	0.3570823841
139	0.3563826111
140	0.3550984557
141	0.3540039841
142	0.3529578678
143	0.3522072733
144	0.3507851008
145	0.3494515053
146	0.3482802803
147	0.3472738332
148	0.3461848517
149	0.3448979114
150	0.3438801644
151	0.3424430137
152	0.3413754313
153	0.3403375788
154	0.3396181887
155	0.3388976169
156	0.3377002968
157	0.3366471151
158	0.3355570839
159	0.3344509701
160	0.3334988423
161	0.3329452962
162	0.332225701
163	0.331412426
164	0.3304248045
165	0.3296958898
166	0.3292126266
167	0.3281787706
168	0.3272667128
169	0.3260076044
170	0.3250497504
171	0.3237725645
172	0.3227125812
173	0.32192686
174	0.3211792632
175	0.3200225405
176	0.3189818962
177	0.3182137299
178	0.317175572
179	0.3161350305
180	0.315459568
181	0.3148016336
182	0.3136691661
183	0.3126046511
184	0.3119066873
185	0.3109216899
186	0.3099196789
187	0.3088750438
188	0.3083370262
189	0.3079520247
190	0.3069459821
191	0.3058381578
192	0.304636378
193	0.3038853054
194	0.3029807901
195	0.3020880536
